episode,avg_score,avg_max_tile,loss,actor_loss,critic_loss,entropy,elapsed_s
21450,6587.4,448.0,0.11165,-0.00511,0.2347,0.05953,4047.4
21500,6307.1,453.1,0.08404,0.03421,0.1021,0.12144,4065.2
21550,5840.0,405.8,0.26523,0.00906,0.51415,0.09045,4083.1
21600,5557.2,384.0,0.06825,-0.01045,0.15881,0.06997,4099.7
21650,5448.5,378.9,0.04931,0.01736,0.06594,0.10201,4117.1
21700,5588.4,377.0,0.1538,0.04736,0.21557,0.13406,4134.6
21750,5695.1,396.2,0.49143,-0.04701,1.08013,0.16272,4152.3
21800,5834.8,405.8,0.15745,0.01807,0.28022,0.07269,4170.5
21850,6161.7,416.0,0.13245,0.02901,0.20906,0.10945,4190.0
21900,6361.0,441.6,0.1608,-0.01502,0.35388,0.11189,4208.8
21950,5972.6,430.1,0.28695,0.01553,0.54551,0.13385,4225.9
22000,5764.2,408.3,0.26807,0.01682,0.50491,0.12019,4243.8
22050,5984.1,418.6,0.19993,0.01621,0.36937,0.09661,4262.1
22100,5902.0,419.8,0.37917,0.01587,0.72855,0.09789,4279.6
22150,6466.4,453.1,0.23843,-0.01012,0.49878,0.08446,4300.8
22200,6903.6,465.9,0.22007,0.02728,0.38815,0.12818,4320.7
22250,6257.9,419.2,0.15363,0.00247,0.30355,0.06206,4338.7
22300,6535.0,453.1,0.02422,-0.01686,0.08441,0.11224,4359.5
22350,6926.8,492.2,0.09322,0.02476,0.13947,0.12805,4379.4
22400,6640.2,464.6,0.28617,0.00015,0.57509,0.15238,4399.1
22450,6118.5,423.7,0.42693,-0.0322,0.92012,0.09314,4416.6
22500,6378.6,448.0,0.24262,-0.0062,0.49899,0.06712,4437.4
22550,6498.9,465.9,0.38971,-0.01158,0.80328,0.03478,4455.2
22600,5656.5,397.4,0.08101,-0.00168,0.16706,0.08353,4472.1
22650,5904.1,406.4,0.38673,-0.02003,0.81532,0.08946,4491.2
22700,6638.4,458.2,0.25526,-0.00254,0.51768,0.10341,4511.5
22750,6500.1,446.7,0.14494,-0.00258,0.29642,0.06847,4529.8
22800,6030.0,410.9,0.3531,-0.00764,0.7224,0.04587,4548.1
22850,6432.3,436.5,0.1432,0.00066,0.28689,0.09029,4568.4
22900,6496.5,439.0,0.03182,0.00768,0.04956,0.06462,4586.9
22950,6243.7,424.3,0.63828,0.0332,1.21171,0.07733,4605.8
23000,6566.7,444.8,0.34564,-0.00945,0.71182,0.08235,4625.9
23050,6433.0,437.1,0.18074,0.02684,0.3099,0.10524,4644.4
23100,6239.6,430.7,0.22016,0.03247,0.37679,0.07088,4663.6
23150,6619.4,455.7,0.25202,-0.02005,0.54588,0.08648,4684.0
23200,6073.9,414.1,0.08716,-0.00255,0.1804,0.0494,4700.6
23250,5966.0,403.8,0.0423,0.00867,0.06921,0.09767,4720.7
23300,6661.6,457.0,0.1521,0.00726,0.29138,0.08501,4740.7
23350,6899.6,472.3,0.15642,0.00895,0.29679,0.09294,4761.6
23400,6821.3,471.0,0.28892,0.02079,0.53749,0.06177,4780.9
23450,6648.2,463.4,0.11064,0.01677,0.1885,0.03766,4801.1
23500,6671.8,474.2,0.10055,0.01773,0.16708,0.07125,4820.4
23550,7024.2,505.0,0.11322,0.00877,0.21008,0.0597,4842.1
23600,7167.4,508.8,0.09344,0.02216,0.14455,0.09866,4862.3
23650,6493.2,465.9,0.09896,0.03504,0.12997,0.10654,4880.9
23700,6151.4,439.0,0.07341,0.02868,0.09146,0.09959,4899.3
23750,6347.2,440.0,0.13129,0.04105,0.18265,0.10927,4919.1
23800,6697.4,458.6,0.05641,0.00784,0.09899,0.09264,4939.6
23850,6382.1,442.2,0.06394,0.01085,0.10738,0.06037,4957.5
23900,6143.0,425.6,0.34308,-0.03726,0.76257,0.09464,4976.9
23950,6204.5,426.2,0.18962,0.02997,0.32156,0.11337,4995.2
24000,6472.6,454.4,0.13594,0.01036,0.25288,0.08606,5015.6
24050,6221.6,429.4,0.28908,0.01834,0.54316,0.08321,5032.8
